    0.81857E+00   0.62640E+02   0.43231E-02   0.13309E-04   0.11878E-02   0.11669E-02   0.20962E-04
    0.87506E+00   0.66963E+02   0.36846E-02   0.13289E-04   0.11190E-02   0.10946E-02   0.24436E-04
    0.93543E+00   0.71583E+02   0.28812E-02   0.13270E-04   0.75450E-03   0.72456E-03   0.29939E-04
    0.10000E+01   0.76524E+02   0.19008E-02   0.13261E-04  -0.12562E-03  -0.16653E-03   0.40911E-04
    0.10690E+01   0.81804E+02   0.77538E-03   0.13292E-04  -0.11129E-02  -0.11200E-02   0.71281E-05
    0.11428E+01   0.87450E+02   0.85855E-04   0.13357E-04  -0.90025E-03  -0.84750E-03  -0.52755E-04
    0.12216E+01   0.93483E+02   0.15676E-05   0.13479E-04  -0.15107E-03  -0.88893E-04  -0.62174E-04
    0.13059E+01   0.99936E+02   0.62194E-08   0.13574E-04  -0.46711E-04  -0.11643E-05  -0.45547E-04
    0.13960E+01   0.10683E+03   0.12445E-12   0.13640E-04  -0.38036E-04  -0.61188E-08  -0.38030E-04
    0.14924E+01   0.11420E+03   0.12721E-20   0.13698E-04  -0.35736E-04  -0.24869E-12  -0.35736E-04
    0.15953E+01   0.12208E+03   0.60592E-34   0.13750E-04  -0.34113E-04  -0.35529E-20  -0.34113E-04
    0.17054E+01   0.13050E+03   0.18077E-42   0.13796E-04  -0.32937E-04  -0.26154E-33  -0.32937E-04
    0.18230E+01   0.13951E+03   0.48366E-40   0.13837E-04  -0.31847E-04   0.46241E-39  -0.31847E-04
    0.19488E+01   0.14913E+03   0.41341E-37   0.13874E-04  -0.30944E-04   0.22193E-36  -0.30944E-04
    0.20833E+01   0.15942E+03   0.23539E-34   0.13904E-04  -0.30031E-04   0.82077E-34  -0.30031E-04
    0.22270E+01   0.17042E+03   0.10317E-31   0.13930E-04  -0.28975E-04   0.92977E-32  -0.28975E-04
    0.23806E+01   0.18218E+03   0.13755E-29   0.13949E-04  -0.28120E-04   0.48384E-30  -0.28120E-04
    0.25448E+01   0.19474E+03   0.82382E-28   0.13961E-04  -0.27200E-04   0.19396E-28  -0.27200E-04
    0.27204E+01   0.20818E+03   0.38239E-26   0.13968E-04  -0.26428E-04   0.13268E-26  -0.26428E-04
    0.29081E+01   0.22254E+03   0.31200E-24   0.13966E-04  -0.25648E-04   0.52049E-25  -0.25648E-04
    0.31087E+01   0.23789E+03   0.14433E-22   0.13958E-04  -0.24747E-04   0.65121E-24  -0.24747E-04
    0.33231E+01   0.25430E+03   0.20707E-21   0.13939E-04  -0.23983E-04   0.56161E-23  -0.23983E-04
    0.35523E+01   0.27184E+03   0.19995E-20   0.13913E-04  -0.23238E-04   0.39095E-22  -0.23238E-04
    0.37974E+01   0.29059E+03   0.15643E-19   0.13877E-04  -0.22518E-04   0.29250E-21  -0.22518E-04
    0.40595E+01   0.31065E+03   0.13210E-18   0.13830E-04  -0.21676E-04   0.16100E-20  -0.21676E-04
    0.43394E+01   0.33207E+03   0.82742E-18   0.13773E-04  -0.21198E-04   0.83471E-20  -0.21198E-04
    0.46385E+01   0.35496E+03   0.47825E-17   0.13702E-04  -0.20433E-04   0.27194E-19  -0.20433E-04
    0.49584E+01   0.37944E+03   0.18307E-16   0.13621E-04  -0.19701E-04   0.11548E-18  -0.19701E-04
    0.53007E+01   0.40563E+03   0.90608E-16   0.13522E-04  -0.19352E-04   0.65165E-18  -0.19352E-04
    0.56665E+01   0.43362E+03   0.51711E-15   0.13412E-04  -0.18503E-04   0.17418E-17  -0.18503E-04
    0.60569E+01   0.46350E+03   0.16069E-14   0.13283E-04  -0.17993E-04   0.47780E-17  -0.17993E-04
    0.64748E+01   0.49548E+03   0.54449E-14   0.13138E-04  -0.17657E-04   0.91784E-17  -0.17657E-04
    0.69214E+01   0.52965E+03   0.11060E-13   0.12974E-04  -0.16835E-04   0.91978E-17  -0.16835E-04
    0.73989E+01   0.56619E+03   0.15995E-13   0.12788E-04  -0.16182E-04   0.14114E-16  -0.16182E-04
    0.79093E+01   0.60525E+03   0.31832E-13   0.12581E-04  -0.15888E-04   0.33603E-16  -0.15888E-04
    0.84546E+01   0.64698E+03   0.59060E-13   0.12352E-04  -0.15472E-04   0.34187E-16  -0.15472E-04
    0.90379E+01   0.69162E+03   0.73148E-13   0.12098E-04  -0.14854E-04   0.84715E-17  -0.14854E-04
    0.96613E+01   0.73932E+03   0.76816E-13   0.11816E-04  -0.14362E-04   0.94789E-18  -0.14362E-04
    0.10328E+02   0.79032E+03   0.87869E-13   0.11506E-04  -0.14112E-04  -0.35318E-17  -0.14112E-04
    0.11040E+02   0.84483E+03   0.73680E-13   0.11168E-04  -0.13836E-04  -0.17483E-16  -0.13836E-04
    0.11801E+02   0.90309E+03   0.45330E-13   0.10795E-04  -0.13276E-04  -0.28676E-16  -0.13276E-04
    0.12615E+02   0.96537E+03   0.72856E-14   0.10387E-04  -0.12671E-04  -0.23100E-16  -0.12671E-04
    0.13486E+02   0.10320E+04   0.98295E-16   0.99415E-05  -0.12207E-04  -0.37821E-17  -0.12207E-04
    0.14415E+02   0.11031E+04   0.18390E-18   0.94635E-05  -0.11726E-04  -0.54994E-19  -0.11726E-04
    0.15410E+02   0.11792E+04   0.12807E-22   0.89525E-05  -0.10933E-04  -0.11911E-21  -0.10933E-04
    0.16473E+02   0.12606E+04   0.91363E-30   0.84204E-05  -0.93674E-05  -0.99901E-26  -0.93674E-05
    0.17609E+02   0.13475E+04   0.21999E-37   0.79029E-05  -0.81759E-05   0.28193E-25  -0.81759E-05
    0.18824E+02   0.14405E+04   0.25744E-23   0.74489E-05  -0.35213E-05   0.18551E-16  -0.35213E-05
    0.20122E+02   0.15398E+04   0.11036E-14   0.72663E-05  -0.48533E-05   0.12116E-10  -0.48534E-05
    0.21509E+02   0.16460E+04   0.17777E-08   0.72719E-05  -0.97579E-05   0.10398E-09  -0.97580E-05
    0.22993E+02   0.17595E+04   0.18872E-05   0.74288E-05  -0.72770E-05   0.16405E-09  -0.72772E-05
    0.24579E+02   0.18809E+04   0.37098E-05   0.74412E-05  -0.45609E-05   0.93538E-10  -0.45610E-05
    0.26274E+02   0.20106E+04   0.63844E-05   0.74199E-05  -0.36105E-05   0.10432E-10  -0.36105E-05
    0.28086E+02   0.21493E+04   0.10385E-04   0.73665E-05  -0.29999E-05  -0.24497E-09  -0.29997E-05
    0.30023E+02   0.22975E+04   0.15945E-04   0.72857E-05  -0.25242E-05  -0.55939E-10  -0.25242E-05
    0.32094E+02   0.24559E+04   0.22721E-04   0.71796E-05  -0.20797E-05   0.26806E-09  -0.20800E-05
    0.34307E+02   0.26253E+04   0.29292E-04   0.70499E-05  -0.14700E-05  -0.36819E-09  -0.14696E-05
    0.36674E+02   0.28064E+04   0.33474E-04   0.68978E-05  -0.64629E-06  -0.11624E-06  -0.53005E-06
    0.39203E+02   0.30000E+04   0.33474E-04   0.68978E-05  -0.76958E-06  -0.23953E-06  -0.53005E-06
